id,label,file name,thumbnail,space,filter,type
INF_2DF_3DRW#0,"INFRAME 2 DRAWER FRONT, 3 DRAWERS",FRM_INF_0015.skp,FRM_INF_0015.jpg,kitchen,base,in-frame
INF_2SHELF_LR#0,"INFRAME DOOR LR, 2 SHELVES ",FRM_INF_0016.skp,FRM_INF_0016.jpg,kitchen,base,in-frame
INF_2DR_2DRW_RH#0,"INFRAME DOOR RH, 2 SHELVES ",FRM_INF_0017.skp,FRM_INF_0017.jpg,kitchen,base,in-frame
INF_2DR_2DRW_LH#0,"INFRAME DOOR LH, 2 SHELVES ",FRM_INF_0018.skp,FRM_INF_0018.jpg,kitchen,base,in-frame
INF_2SHELF_OPEN#0,INFRAME 2 SHELVES ,FRM_INF_0020.skp,FRM_INF_0020.jpg,kitchen,base,in-frame
INF_3DF_DRW#0,INFRAME 3 DRAWERS,FRM_INF_0022.skp,FRM_INF_0022.jpg,kitchen,base,in-frame
INF_OVEN_2DRW_LH#0,"INFRAME 2 DRAWERS, OVEN, DOOR LH SHELVES INSET",FRM_INF_0024.skp,FRM_INF_0024.jpg,kitchen,tall,in-frame
INF_OVEN_2DRW_RH#0,"INFRAME 2 DRAWERS, OVEN, DOOR RH SHELVES INSET",FRM_INF_0025.skp,FRM_INF_0025.jpg,kitchen,tall,in-frame
INF_OVEN_OVERDRW#0,"INFRAME, OVEN OVER DRAWER ",FRM_INF_0026.skp,FRM_INF_0026.jpg,kitchen,base,in-frame
INF_OVEN_UNDER#0,"INFRAME, OVEN UNDER DRAWER ",FRM_INF_0027.skp,FRM_INF_0027.jpg,kitchen,base,in-frame
INF_STKD_OVEN_2DRW_LH#0,"INFRAME, 2 DRAWER, OVEN STACKED, DOOR LH",FRM_INF_0028.skp,FRM_INF_0028.jpg,kitchen,tall,in-frame
INF_STKD_OVEN_2DRW_RH#0,"INFRAME, 2 DRAWER, OVEN STACKED, DOOR RH",FRM_INF_0029.skp,FRM_INF_0029.jpg,kitchen,tall,in-frame
INF_TDF_3DRW3SHELVES_O#0,"INFRAME, 3 DRAWERS, SHELVES INSET ",FRM_INF_0030.skp,FRM_INF_0030.jpg,kitchen,tall,in-frame
INF_TDF_3DRW3SHELVES_R #0,"INFRAME, 3 DRAWERS,DOOR RH, SHELVES INSET",FRM_INF_0031.skp,FRM_INF_0031.jpg,kitchen,tall,in-frame
INF_TDF_3DRW3SHELVESL#0,"INFRAME, 3 DRAWERS,DOOR LH, SHELVES INSET",FRM_INF_0032.skp,FRM_INF_0032.jpg,kitchen,tall,in-frame
INF_TDF_3DRW3SHELVESLR#0,"INFRAME, 3 DRAWERS, DOOR LR, SHELVES INSET ",FRM_INF_0033.skp,FRM_INF_0033.jpg,kitchen,tall,in-frame
